MAE,RMSE,MAPE (%),R2,Model,Rank
10.41394017275887,13.237567577385674,34.78413550081986,-0.04519136230813503,lightgbm-tuned,1
10.60237419924895,14.333100535811255,35.66759987693149,-0.22534878885842535,baseline_mean,2
10.272260094337819,13.051275921637911,36.038625188289494,-0.015980504188743083,lightgbm-base,3
10.9981362877939,13.401596013113943,37.60930269132315,-0.07125404758463638,ridge-tuned,4
10.986328001369714,13.401928079737846,38.04739495204809,-0.07130713560813917,ridge-base,5
11.009009259959774,13.386726218984672,38.2570911038254,-0.06887813804251564,linear_regression-base,6
11.280067437609077,14.150888046124615,38.64392571829302,-0.19439182381147546,stacking_ensemble,7
10.442100497210467,13.643567984294837,41.97806911010097,-0.11028724366843212,xgboost-base,8
10.882075661876385,13.015910984483588,42.34468878991583,-0.010481975590777015,random_forest-base,9
14.111555555555558,18.970812070580532,52.33879824641973,-1.1466007426169753,baseline_last_value,10
